Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps
https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-singgahsini-rungkut-asri-utara-xi-tipe-c-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Rungkut Asri Utara XI Tipe C Rungkut Surabaya,Rungkut,880000,Putri,Tidak termasuk listrik,5.0,No,No,Yes,Yes,Yes,2.0,2.5,"https://maps.google.com/maps?z=7&q=-7.3232453,112.7740903"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-rungkut-asri-utara-xi-tipe-a-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Rungkut Asri Utara XI Tipe A Rungkut Surabaya,Rungkut,1275000,Putri,Tidak termasuk listrik,5.0,No,Yes,Yes,Yes,Yes,2.0,2.5,"https://maps.google.com/maps?z=7&q=-7.3232453,112.7740903"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-singgahsini-rungkut-asri-utara-xi-tipe-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Rungkut Asri Utara XI Tipe B Rungkut Surabaya,Rungkut,925000,Putri,Tidak termasuk listrik,6.0,No,No,Yes,Yes,Yes,2.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3232453,112.7740903"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-rabbani-syariah-tipe-a-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Rabbani Syariah Tipe A Rungkut Surabaya,Rungkut,2525000,Putri,Tidak termasuk listrik,20.0,Yes,Yes,Yes,Yes,Yes,5.0,4.0,"https://maps.google.com/maps?z=7&q=-7.319905,112.7977001"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-rabbani-syariah-tipe-c-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Singgahsini Rabbani Syariah Tipe C Rungkut Surabaya,Rungkut,2025000,Putri,Tidak termasuk listrik,16.0,Yes,Yes,Yes,Yes,Yes,4.0,4.0,"https://maps.google.com/maps?z=7&q=-7.319905,112.7977001"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-rabbani-syariah-tipe-b-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Singgahsini Rabbani Syariah Tipe B Rungkut Surabaya,Rungkut,2325000,Putri,Tidak termasuk listrik,20.0,Yes,Yes,Yes,Yes,Yes,4.0,5.0,"https://maps.google.com/maps?z=7&q=-7.319905,112.7977001"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-asri-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Asri Rungkut Surabaya,Rungkut,1350000,Putra,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3256482938986,112.7763704583"
https://mamikos.com/room/kost-kabupaten-sidoarjo-kost-campur-eksklusif-kost-durian-residence-eksklusif-waru-sidoarjo?redirection_source=list%20kos%20result,Kost Durian Residence Eksklusif Waru Sidoarjo,Waru,1600000,Campur,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.341195,112.776893"
https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-bale-modokan-tipe-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Bale Modokan Tipe B Rungkut Surabaya,Rungkut,1200000,Putra,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,Yes,3.0,3.0," https://maps.google.com/maps?z=7&q=-7.3268075248199,112.79144849628"
https://mamikos.com/room/kost-kabupaten-sidoarjo-kost-putri-murah-kost-amanah-i-tipe-standard-waru-sidoarjo-2?redirection_source=list%20kos%20result,Kost Amanah I Tipe Standard Waru Sidoarjo,Waru,750000,Putri,Termasuk listrik,9.0,Yes,No,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3466862,112.8002328"
